anonym_id,log10,inhib_col
Analog 1,3.9995654882259823,71.53787
Analog 1,3.39776625612645,78.595085
Analog 1,2.793161529245551,80.849335
Analog 1,2.198931869932209,79.638435
Analog 1,1.6196150057428065,69.444244
Analog 1,0.9847972570892928,55.67259
Analog 1,0.3821972103774537,14.291201
Analog 1,-0.23433144524098592,-0.4925571
Analog 1,-0.7783250029292312,-6.9115086
Analog 1,-1.418050341626682,-2.0122998
Analog 2,3.9995654882259823,57.655846
Analog 2,3.39776625612645,49.074757
Analog 2,2.793161529245551,26.643913
Analog 2,2.198931869932209,-1.3642336
Analog 2,1.6196150057428065,-1.6987741
Analog 2,0.9847972570892928,-2.620174
Analog 2,0.3821972103774537,-5.709034
Analog 2,-0.23433144524098592,-5.838294
Analog 2,-0.7783250029292312,-5.888132
Analog 2,-1.418050341626682,-7.3136754
Analog 3,3.9995654882259823,-1.2889112
Analog 3,3.39776625612645,-6.872672
Analog 3,2.793161529245551,-10.956612
Analog 3,2.198931869932209,-9.046981
Analog 3,1.6196150057428065,-6.4952044
Analog 3,0.9847972570892928,-4.379514
Analog 3,0.3821972103774537,-0.49493542
Analog 3,-0.23433144524098592,-5.4627705
Analog 3,-0.7783250029292312,-5.351482
Analog 3,-1.418050341626682,-2.216814
Analog 4,3.9995654882259823,-1.7835909
Analog 4,3.39776625612645,-1.1078026
Analog 4,2.793161529245551,-12.377437
Analog 4,2.198931869932209,-4.9967594
Analog 4,1.6196150057428065,-7.0807624
Analog 4,0.9847972570892928,-3.8690841
Analog 4,0.3821972103774537,-5.1804733
Analog 4,-0.23433144524098592,-5.9976354
Analog 4,-0.7783250029292312,-4.002674
Analog 4,-1.418050341626682,-4.5999093
Analog 5,3.9995654882259823,-3.2842677
Analog 5,3.39776625612645,-2.9057913
Analog 5,2.793161529245551,-7.98492
Analog 5,2.198931869932209,-6.560025
Analog 5,1.6196150057428065,-10.548704
Analog 5,0.9847972570892928,-3.629651
Analog 5,0.3821972103774537,-2.8912818
Analog 5,-0.23433144524098592,-5.191215
Analog 5,-0.7783250029292312,-7.3183174
Analog 5,-1.418050341626682,-7.039064
Analog 6,3.9995654882259823,-3.4843345
Analog 6,3.39776625612645,-2.654517
Analog 6,2.793161529245551,-6.07742
Analog 6,2.198931869932209,-1.2520788
Analog 6,1.6196150057428065,-6.0214024
Analog 6,0.9847972570892928,-3.83283
Analog 6,0.3821972103774537,-4.841743
Analog 6,-0.23433144524098592,-10.294161
Analog 6,-0.7783250029292312,-8.342155
Analog 6,-1.418050341626682,-10.908849
Reference D,3.9995654882259823,64.70615
Reference D,3.39776625612645,63.89134
Reference D,2.793161529245551,69.208374
Reference D,2.198931869932209,56.262596
Reference D,1.6196150057428065,35.808304
Reference D,0.9847972570892928,18.833338
Reference D,0.3821972103774537,-2.4898765
Reference D,-0.23433144524098592,-2.861366
Reference D,-0.7783250029292312,-6.2412753
Reference D,-1.418050341626682,0.86087424
Analog 8,3.9995654882259823,75.19337
Analog 8,3.39776625612645,81.45064
Analog 8,2.793161529245551,83.58623
Analog 8,2.198931869932209,72.86851
Analog 8,1.6196150057428065,77.01883
Analog 8,0.9847972570892928,63.67129
Analog 8,0.3821972103774537,40.222164
Analog 8,-0.23433144524098592,7.0012517
Analog 8,-0.7783250029292312,-3.2654994
Analog 8,-1.418050341626682,-2.3842864
Analog 9,3.9995654882259823,94.3634
Analog 9,3.39776625612645,93.77545
Analog 9,2.793161529245551,92.88125
Analog 9,2.198931869932209,52.716255
Analog 9,1.6196150057428065,45.978416
Analog 9,0.9847972570892928,30.642536
Analog 9,0.3821972103774537,3.262037
Analog 9,-0.23433144524098592,-7.6910477
Analog 9,-0.7783250029292312,-2.46181
Analog 9,-1.418050341626682,-6.675963
Analog 10,3.9995654882259823,12.508359
Analog 10,3.39776625612645,-1.851069
Analog 10,2.793161529245551,-11.334418
Analog 10,2.198931869932209,-4.671904
Analog 10,1.6196150057428065,-10.623485
Analog 10,0.9847972570892928,-5.3256116
Analog 10,0.3821972103774537,-4.344613
Analog 10,-0.23433144524098592,-11.072936
Analog 10,-0.7783250029292312,-6.369521
Analog 10,-1.418050341626682,-9.562248
Analog 11,3.9995654882259823,23.007877
Analog 11,3.39776625612645,11.643497
Analog 11,2.793161529245551,-12.086766
Analog 11,2.198931869932209,-10.727685
Analog 11,1.6196150057428065,-12.879429
Analog 11,0.9847972570892928,-6.097855
Analog 11,0.3821972103774537,-4.6508927
Analog 11,-0.23433144524098592,-3.056808
Analog 11,-0.7783250029292312,-10.915723
Analog 11,-1.418050341626682,-3.707996
Analog 12,3.9995654882259823,74.487885
Analog 12,3.39776625612645,80.90616
Analog 12,2.793161529245551,89.968216
Analog 12,2.198931869932209,85.81303
Analog 12,1.6196150057428065,78.08895
Analog 12,0.9847972570892928,67.72798
Analog 12,0.3821972103774537,28.171835
Analog 12,-0.23433144524098592,-2.811386
Analog 12,-0.7783250029292312,-8.5569315
Analog 12,-1.418050341626682,-6.210464
